idiom,id,source,prompt_comp_ind,similarity_ind,frequent_target_ind,hard_to_guess
easier said than done,30b4d6f0fc8829e4c406,EPIC,False,False,False,True
stick out like a sore thumb,f6f53ca079d2abda656e,MAGPIE,True,False,True,False
between the devil and the deep blue sea,d4c0b8dd5f37815ea908,MAGPIE,True,False,True,False
in one ear and out the other,c04ce7209ab9421794de,MAGPIE,False,False,False,True
keep your fingers crossed,488979b77550dfe9d919,LIdiom,False,False,True,True
knock someone's socks off,fcea005ed0f077e0c9c0,MAGPIE,False,False,False,True
you can't have your cake and eat it,2cee633c10c88125d4bd,MAGPIE,True,False,False,False
the icing on the cake,572a0442021364e6b0cd,LIdiom,False,False,True,True
no two ways about it,b3d37448337eff965ae1,MAGPIE,True,False,False,False
within an ace of,70d50d309a044f0505e5,MAGPIE,False,False,False,True
through thick and thin,13fc3b1dde73b1452e9e,EPIC,False,False,False,True
take it or leave it,c1969f373888ffef97d2,MAGPIE,True,True,False,False
till the cows come home,332c37a9dcad73bf7c5c,MAGPIE,False,False,False,True
get in on the ground floor,41036a92064f1d4aa7d5,MAGPIE,False,False,True,True
kill two birds with one stone,3fd1972eb08b289602be,LIdiom,True,False,True,False
put your oar in,b8002c958ee9f0ec8751,MAGPIE,False,False,False,True
under lock and key,98b348166fc72eedd789,MAGPIE,False,False,True,True
keep the wolf from the door,7a8bab8237ea81982f3e,MAGPIE,False,False,True,True
hit the nail on the head,618e0e225bd4bfee8c8e,LIdiom,False,False,True,True
blood is thicker than water,a93d3e73d8c121bf4962,EPIC,False,False,True,True
in the lap of luxury,ffed93737a6994edacae,MAGPIE,False,False,True,True
in black and white,9b38d56ed436a1b137fb,MAGPIE,True,False,True,False
come rain or shine,8621acd89f75e026dcc4,EPIC,False,False,True,True
by no stretch of the imagination,60bdee0e5675cb857418,MAGPIE,True,False,True,False
stand up and be counted,1de36d6192dc36666c8b,MAGPIE,False,False,True,True
look on the bright side,4662c7aa152752f825f8,MAGPIE,True,False,False,False
fall on stony ground,5ab8f62fd52e75795845,MAGPIE,False,False,True,True
when the chips are down,215cd38171d46517430f,MAGPIE,False,False,False,True
come hell or high water,1ca4a3ccccbc68dbeabc,EPIC,False,False,True,True
bite off more than you can chew,c3d4dd8c8a8f18818e39,LIdiom,False,False,True,True
have no truck with,341dffc0283f07e521e1,MAGPIE,False,False,False,True
throw down the gauntlet,37e5a12235dd7cfefa51,MAGPIE,False,False,True,True
run something up the flagpole,4b1d982b25ff432f6c85,MAGPIE,False,False,True,True
rake over old coals,34debfd41aedee2669ff,MAGPIE,False,False,True,True
make a mountain out of a molehill,61cdaa2f98fa1083023f,MAGPIE,False,False,True,True
the rest is history,5f6ed7310dee98f09067,MAGPIE,False,False,True,True
leave no stone unturned,5e73cccab6ea7a0ecece,ep_as_part_of_a_sentence,False,False,True,True
at sixes and sevens,06e223df430144dc8e3c,EPIC,False,False,True,True
put a damper on,06f54a44099868a49939,MAGPIE,False,False,False,True
throw cold water on,526b37dbcdd95a7845f9,MAGPIE,False,False,False,True
there's no such thing as a free lunch,3692f4cc06d20249d1ae,ep_by_itself,False,False,True,True
out of thin air,94481aa89cae10ce6e58,MAGPIE,False,False,True,True
make a clean break,ad45cb354b748574ed49,MAGPIE,False,False,True,True
when all is said and done,371bb90088e6f3cb6740,MAGPIE,True,False,False,False
back to the drawing board,d79ef730c20d6422726b,LIdiom,True,False,True,False
play fast and loose,6b1ed1691c22bc9c45ff,MAGPIE,False,False,True,True
draw the short straw,cd1f2e10f148dbcfb6f8,LIdiom,False,False,True,True
make short work of,43f8cec7d7c698f77cf0,MAGPIE,False,False,False,True
pull a rabbit out of a hat,95d15abb5e08c7201e21,MAGPIE,False,False,True,True
wipe the slate clean,895355fc03b44c97bed2,MAGPIE,False,False,True,True
all things being equal,2c00b9e8c6499a82e341,MAGPIE,False,False,True,True
nudge nudge wink wink,94c78677a3c2e7b79af3,MAGPIE,True,True,True,False
set your sights on,430d345159ad32472462,MAGPIE,False,False,False,True
dressed to the nines,8aca44c291ab59b31624,MAGPIE,False,False,True,True
fall off the back of a lorry,cef519cd929b5afd52f2,MAGPIE,False,False,True,True
flat as a pancake,4657101b1fc80745da59,MAGPIE,False,False,True,True
wouldn't hurt a fly,5873ccc025c5278ef48b,MAGPIE,False,False,True,True
see eye to eye,1af640b245e46f66ac59,LIdiom,False,True,True,False
in the wink of an eye,985df4ddc7dc1266408f,MAGPIE,True,False,True,False
curiosity killed the cat,09cc1c6738d26691404f,EPIC,False,False,True,True
no smoke without fire,6ba2dbf32b612a71a093,MAGPIE,False,False,False,True
chickens come home to roost,7c95d4ab9d90dbc42c18,MAGPIE,False,False,True,True
put words in someone's mouth,4c9d986b90f3ac9d73ee,MAGPIE,True,False,True,False
put your best foot forward,3da13349a6358371a2f9,MAGPIE,True,False,True,False
wither on the vine,8cc7cae8e09a1859337c,MAGPIE,False,False,True,True
better late than never,fbf0710f8a58a16a59f3,EPIC,False,False,False,True
in the nick of time,7ac9d001068576cd9e79,EPIC,True,False,False,False
put your foot down,49b4429cc85503b3df1c,MAGPIE,False,False,False,True
keep your options open,2caf366b55fbfafd2086,MAGPIE,False,False,True,True
plain as a pikestaff,8c758787d03d47dd3037,MAGPIE,False,False,True,True
move heaven and earth,90532875e699893e41c1,MAGPIE,True,False,True,False
take a leaf out of someone's book,0fe7f23004064265b3a8,MAGPIE,False,False,True,True
pull a fast one,87fce07be858d7e964a1,MAGPIE,False,False,False,True
look before you leap,a07bf6dd19cacb26f74a,LIdiom,False,False,True,True
burn the midnight oil,bfbdf4f82d79c2174901,MAGPIE,False,False,True,True
only time will tell,8ce34ed5a5d03be85e9e,MAGPIE,True,False,False,False
rest on your laurels,c2f354c995438b16b492,MAGPIE,False,False,True,True
look the other way,6bd8504fb394dbe85524,MAGPIE,False,False,False,True
stand the test of time,8db4a1aa823af21e2e46,MAGPIE,False,False,False,True
bark up the wrong tree,f96bf73614e55b023145,MAGPIE,False,False,True,True
jack of all trades,a6ada2c70966a938cdb4,LIdiom,False,False,True,True
friends in high places,5625cd17db0255cd0639,MAGPIE,False,False,True,True
come up smelling of roses,1a3141e768ef20384359,MAGPIE,False,False,True,True
separate the wheat from the chaff,23251447de26ae2b622e,MAGPIE,False,False,True,True
put the cart before the horse,b99f0e0506466d6d934e,LIdiom,False,False,True,True
take the wind out of someone's sails,43304f682ac94b57013e,LIdiom,False,False,True,True
take the rough with the smooth,5f3d51768b58f4f8cc74,MAGPIE,False,False,True,True
you scratch my back and I'll scratch yours,9282d44f3192dbb8d1a2,MAGPIE,False,False,False,True
between a rock and a hard place,089e21d78b6aef12bf11,MAGPIE,False,False,True,True
every trick in the book,2320a12cccf678f2142b,MAGPIE,False,False,True,True
fly in the face of,06097c95e96826784376,MAGPIE,False,False,False,True
dead as a doornail,b9bf3faa366ea862e771,MAGPIE,False,False,True,True
to the nth degree,5323a758021d5591cc84,MAGPIE,False,False,True,True
from pillar to post,0f126ea14a16cf7852fb,MAGPIE,False,False,True,True
have your work cut out,79b4309cda1a550db9ac,MAGPIE,True,False,False,False
every nook and cranny,f8f1a59233df2cb5fe7a,MAGPIE,False,False,True,True
everything but the kitchen sink,c4b3e76bcd672bf0479b,MAGPIE,False,False,True,True
too clever by half,a5b0e31cf267988c2698,MAGPIE,False,False,True,True
better the devil you know,ea9bdd2e8107750fab2e,MAGPIE,False,True,False,False
make light work of,783dc6cd72f0dfd103e1,MAGPIE,False,False,False,True
turn over a new leaf,0e3f82f8b0d7a061d741,MAGPIE,False,False,True,True
public enemy number one,19daa8fdf7f4af414e33,MAGPIE,False,False,False,True
"out of sight, out of mind",027e6c779deba400714f,LIdiom,False,False,True,True
beggars can't be choosers,fceea99c4bb9b86b9908,MAGPIE,False,False,True,True
keep a straight face,da39ce86744e1570c0df,MAGPIE,False,False,True,True
like a bat out of hell,d73640b9ebdb9d115c3f,MAGPIE,False,False,True,True
neither fish nor fowl,a395e3fa20895096eb5f,LIdiom,False,False,True,True
in the blink of an eye,2c52f2c811deb1ff4f38,LIdiom,True,False,True,False
by a long shot,48e0bde32296d02a6c57,MAGPIE,False,False,True,True
all bets are off,ce2fefff2deaa0b29840,MAGPIE,False,False,False,True
no time like the present,2eacdfbe9028d444d6d1,MAGPIE,False,False,False,True
in the fast lane,aad500a8848894c98171,LIdiom,False,False,True,True
start off on the wrong foot,e7a5c59d968720b69d1d,MAGPIE,False,False,True,True
throw the book at,fafe85afb6b4fb2e2255,MAGPIE,False,False,False,True
don't hold your breath,b5bb529609d02ae538d3,MAGPIE,True,False,True,False
it takes two to tango,d427dfcb691843e95437,ep_by_itself,False,False,True,True
add fuel to the fire,d3defffb19469b37a6b5,MAGPIE,False,False,False,True
sick as a parrot,b0117bc748d35fe2dc73,MAGPIE,False,False,True,True
by leaps and bounds,a458108913a795b2dba4,MAGPIE,False,False,True,True
once in a blue moon,ac72594c1851fb40c2bf,LIdiom,False,False,True,True
get your teeth into,2a35a6916515b42f0ef6,MAGPIE,False,False,False,True
throw caution to the wind,b692387736c040c6eaf9,ep_as_part_of_a_sentence,False,False,True,True
throw your weight around,860664d6cdbaae735373,MAGPIE,False,False,False,True
batten down the hatches,433c46dc359775d95b8a,MAGPIE,False,False,True,True
flog a dead horse,c496610992928cb4994a,MAGPIE,False,False,True,True
wake up and smell the coffee,5e7f85fe31d6faf4620d,MAGPIE,False,False,True,True
press the panic button,f6c7afc5aec6eecfb19c,MAGPIE,True,False,True,False
come in from the cold,07c5869a8dbeaa06e940,MAGPIE,False,False,True,True
dead to the world,3a8ec177ea7f5b153eda,EPIC,False,False,False,True
bite someone's head off,e7764ab58be5317eaef4,MAGPIE,False,False,False,True
think outside the box,b40a4de090e49d13c316,MAGPIE,False,False,True,True
burn the candle at both ends,8b6a2d36ad53e06dafeb,MAGPIE,True,False,True,False
cut the Gordian knot,b400a067bbe6be030651,MAGPIE,False,False,True,True
leave someone in the lurch,b34a750e512842c82ff6,MAGPIE,False,False,True,True
throw good money after bad,e66fd2dc98e36991d221,MAGPIE,False,False,True,True
you can't teach an old dog new tricks,7e67fda8a438d62fe33f,MAGPIE,False,False,True,True
pass the time of day,b929a2021f8c03cc8283,MAGPIE,False,False,False,True
away with the fairies,deb5c29b49f01a5dd331,MAGPIE,False,False,True,True
prick up your ears,24afafdc885470fc97ae,MAGPIE,False,False,True,True
give someone a bloody nose,4d10df2f185a83b2249f,MAGPIE,False,False,True,True
cast pearls before swine,df97e489f4461d277b38,MAGPIE,False,False,True,True
rub someone the wrong way,d1ee70e683b1258c905b,MAGPIE,True,False,False,False
have a mountain to climb,7e90fc7a0c5d68543f85,MAGPIE,True,False,True,False
put the kibosh on,b6d94b3b35f77598199f,MAGPIE,False,False,False,True
what goes around comes around,0f240e302591b8ed40fd,MAGPIE,False,True,False,False
by the seat of your pants,a8a540d74b3f4fb2a172,MAGPIE,False,False,True,True
never the twain shall meet,7ca267ced385e1a3234e,MAGPIE,False,False,True,True
"once bitten, twice shy",e6251398fe233daa98be,LIdiom,False,False,True,True
the buck stops here,efe7a0171be26a16c7a8,MAGPIE,False,False,False,True
two heads are better than one,65f90f9a2cc68f75720a,MAGPIE,False,True,False,False
get on like a house on fire,1f82bc741c83e7cc3fa2,MAGPIE,True,False,False,False
put the cat among the pigeons,db7d2a5913309936c304,MAGPIE,False,False,True,True
keep your powder dry,a8a40e633f5d4c2ac22e,MAGPIE,False,False,True,True
bring home the bacon,64b2a726242fb9dadb82,MAGPIE,False,False,True,True
send someone to Coventry,0fb3fa0e6159957adeb5,MAGPIE,False,False,True,True
shoot from the hip,9d4a5ce0fa7b9c7376b1,MAGPIE,False,False,True,True
keep your chin up,cbc85b3db3e72598e289,MAGPIE,False,False,False,True
put up or shut up,b89e4e6a1013f2b5f9a5,MAGPIE,False,True,False,False
hold all the aces,807dc9ef803740e7485f,MAGPIE,False,False,True,True
don't give up the day job,30a535a456e01d3bef22,MAGPIE,False,False,True,True
on a silver platter,db72114a7a14941f5056,MAGPIE,False,False,True,True
give as good as you get,10c2df5cb5fa6b048e29,MAGPIE,False,True,False,False
nothing to write home about,f44d26c0ee983cbbc1da,MAGPIE,True,False,False,False
take a shine to,7d376e36a1e67ed9d62a,MAGPIE,False,False,False,True
get a handle on,59f57db095b387fedbf1,MAGPIE,False,False,False,True
you could have knocked me down with a feather,ad52b90fcdb92ea11d76,MAGPIE,False,False,True,True
get down to brass tacks,9921ae606ebe81f97125,MAGPIE,False,False,True,True
better safe than sorry,d1fd09d41335f4f47041,MAGPIE,False,False,False,True
put your cards on the table,23000dd558641e622155,MAGPIE,True,False,True,False
no rest for the wicked,5a5f9eb32c3314b8cb5d,MAGPIE,False,False,True,True
push the panic button,64a562d2122238b8fd34,MAGPIE,True,False,True,False
go down like a lead balloon,ea72c62265c88443d76d,MAGPIE,False,False,True,True
in the driver's seat,fc3f345a57a36b353de3,MAGPIE,False,False,True,True
asleep at the wheel,6cafb5c3e48bd411a2b7,MAGPIE,False,False,True,True
the ball is in someone's court,98f17a4c40a2d3ca378e,MAGPIE,False,False,True,True
eat your heart out,a31b906c9db9022c9c86,MAGPIE,False,False,False,True
not to be sneezed at,0b4d94dd33540b3e9d5d,MAGPIE,False,False,False,True
straight from the horse's mouth,86bef329d8cdfec11b39,MAGPIE,False,False,True,True
draw a bead on,345ffe8270b4af4b9907,MAGPIE,False,False,False,True
dog in the manger,259830c0852e70a77a42,MAGPIE,False,False,True,True
sweep someone off their feet,3b9a32229f865de17da5,MAGPIE,False,False,True,True
jump down someone's throat,6c0d431a6666c7744f56,MAGPIE,True,False,True,False
not just a pretty face,38507a91bcb1d6d47796,MAGPIE,False,False,True,True
do the right thing,0cff9d7d81ebdfcee3d3,MAGPIE,False,False,True,True
beat the daylights out of,13cf949a8d7f922cc28a,MAGPIE,True,False,False,False
put the moves on,f64eaaecf3b0efb56324,MAGPIE,False,False,False,True
let the genie out of the bottle,2f69c3bbca27a5705fa2,MAGPIE,False,False,True,True
let the cat out of the bag,7c8a05a9f2eed4c22233,LIdiom,False,False,True,True
get your skates on,87f77def8fda3afab25b,MAGPIE,False,False,False,True
close but no cigar,64cc65ad7169b623e60b,MAGPIE,False,False,True,True
snap someone's head off,1b6db5d4792b39ff4943,MAGPIE,False,False,False,True
still waters run deep,e059e198db90a7396ce4,MAGPIE,False,False,True,True
too many cooks spoil the broth,1e912f58f6038f4eb55d,LIdiom,False,False,True,True
take the gilt off the gingerbread,991ca3d4244520757cc3,MAGPIE,False,False,True,True
shuffle off this mortal coil,ac9940bfad29507e768f,MAGPIE,False,False,True,True
throw the baby out with the bathwater,12896838053594bea09a,LIdiom,False,False,True,True
"in for a penny, in for a pound",93400baa3d267f717ddc,MAGPIE,False,False,True,True
not to put too fine a point on it,333f01d5a8cb60f025e4,MAGPIE,True,False,False,False
give someone a piece of your mind,209f0cd3f99a7cdd51b6,MAGPIE,False,False,True,True
from the horse's mouth,b1e1a562d7ae859ea21a,LIdiom,False,False,True,True
come down the pike,3de4e47c293764a7a1f3,MAGPIE,False,False,True,True
keep your nose to the grindstone,931b6395504656f78167,MAGPIE,False,False,True,True
thumb your nose at,fafad5aa25d39f442e54,MAGPIE,False,False,False,True
fish in troubled waters,6441445987c9b95cd3aa,MAGPIE,False,False,True,True
a little bird told me,d17f7709d96b392a3a9c,MAGPIE,True,False,False,False
"day in, day out",7537827c4228a03e07ca,MAGPIE,False,False,False,True
dead as a dodo,b9bf3faa366ea862e771,MAGPIE,False,False,True,True
go the extra mile,6518cba9dcb70bee87f0,MAGPIE,False,False,True,True
start off on the right foot,3631f3bad4d2b3d0a5a5,MAGPIE,False,False,True,True
time and tide wait for no man,3ce76109951889560bc5,MAGPIE,False,False,True,True
warm the cockles of someone's heart,1c739b5db4ed670c4e77,MAGPIE,False,False,True,True
get your feet wet,0876e28aebc8c4daeb9d,MAGPIE,False,False,True,True
kick against the pricks,bd029251356f6ef338b9,MAGPIE,False,False,True,True
by the skin of your teeth,70b96edc5528fc91dd65,ep_as_part_of_a_sentence,False,False,True,True
not bat an eye,376c8a2775179a899e5d,MAGPIE,False,False,True,True
get a rise out of,697aa9d4accacc393b94,MAGPIE,True,False,False,False
keep your head above water,95d05564eb55b7952cca,MAGPIE,False,False,True,True
make a night of it,7bca55d0569a8868b468,MAGPIE,False,False,False,True
draw a line in the sand,ab42afb92b955e746d9b,MAGPIE,False,False,True,True
blow the lid off,f5c15b25049ff5b80acb,MAGPIE,False,False,False,True
it's all Greek to me,789eddfb2d3be2b73d43,MAGPIE,False,False,False,True
dot the i's and cross the t's,15a66d8fb3197924e870,MAGPIE,False,False,False,True
haul someone over the coals,c9ae2a5bdd53936fc93f,MAGPIE,False,False,True,True
separate the sheep from the goats,b9c5b515a7090581dedc,MAGPIE,False,True,True,False
put your heads together,f409ce218536077ce11c,MAGPIE,False,False,False,True
speak of the devil,a84e918d4015f8ce9329,LIdiom,False,False,True,True
have a tiger by the tail,e9e7bfab026f4a666568,MAGPIE,False,False,True,True
spare the rod and spoil the child,72c40c97f49dec8b87e9,MAGPIE,False,False,True,True
"waste not, want not",1b5f0113485b0ee2e48f,ep_by_itself,False,True,False,False
it never rains but it pours,f91a6b6f8e77509f161a,MAGPIE,False,False,True,True
rain cats and dogs,512c484c106ff9b7e7d7,MAGPIE,True,False,True,False
bury your head in the sand,b11030f1c4271461b8d1,MAGPIE,False,False,True,True
make money hand over fist,8017cf592cbe87bec97f,MAGPIE,False,False,True,True
have a bun in the oven,38f1cd8ac3dbc67a273b,MAGPIE,False,False,True,True
throw your hat in the ring,3af8d7fcbb75f70cdcb5,MAGPIE,False,False,True,True
put the screws on,781a03079e897e1d1ecb,MAGPIE,False,False,False,True
kill the fatted calf,e3224e7f4f540c761c31,MAGPIE,False,False,True,True
there's no fool like an old fool,fdfdce9727145775dae7,MAGPIE,False,True,True,False
all dressed up and nowhere to go,cbadca84f90d7a014dab,MAGPIE,True,False,False,False
keep your nose clean,529402b562c58e07866f,MAGPIE,False,False,True,True
a dime a dozen,c2015e1f9bdc62d11028,ep_as_part_of_a_sentence,False,False,True,True
get your act together,84722bfe11ae35b70e2a,ep_by_itself,False,False,False,True
give someone the benefit of the doubt,13b3dd3fac7fb3279c9e,ep_as_part_of_a_sentence,False,False,True,True
go back to the drawing board,3200064346a6ddc8c832,ep_as_part_of_a_sentence,True,False,True,False
it's not rocket science,764e5d0dea94bb7f4084,ep_by_itself,True,False,True,False
let someone off the hook,1b3524f68e542f379413,ep_as_part_of_a_sentence,False,False,True,True
make a long story short,625f220581246f0ad6a8,LIdiom,False,False,True,True
"no pain, no gain",b53e3ffc985cbc9e8313,ep_by_itself,False,False,True,True
so far so good,4ae69c19be59b583252e,EPIC,True,False,False,False
the best of both worlds,e6e093d55d0e993a36ce,EPIC,True,False,True,False
to get bent out of shape,6a0719afa3f95caef9c6,ep_as_part_of_a_sentence,True,False,True,False
to make matters worse,804f6bcf2181e9f6e4d5,ep_as_part_of_a_sentence,True,False,True,False
we'll cross that bridge when we come to it,6ccece788318b4b198b6,ep_by_itself,False,True,False,False
a bird in the hand is worth two in the bush,6550146dc8cdb29dc8a2,ep_by_itself,False,False,True,True
a penny saved is a penny earned,4f33502664b7f75d0838,ep_by_itself,False,False,True,True
a picture is worth 1000 words,7b360aa51a43f554af29,ep_by_itself,True,False,False,False
actions speak louder than words,7954f7879ff6a5e40518,LIdiom,False,False,False,True
barking up the wrong tree,9c5325d49e601ed33890,ep_as_part_of_a_sentence,False,False,True,True
birds of a feather flock together,3e6d04ea6b5aeefee604,LIdiom,False,False,False,True
comparing apples to oranges,3c4e0673315d414c0064,ep_as_part_of_a_sentence,False,False,True,True
costs an arm and a leg,7080c39b4a4923d8902a,ep_as_part_of_a_sentence,True,False,True,False
do something at the drop of a hat,d39e29b64ddbaf17c8d0,ep_as_part_of_a_sentence,True,False,True,False
do unto others as you would have them do unto you,d0436cb09e8d9a49b7f3,ep_by_itself,True,True,False,False
don't count your chickens before they hatch,ef157db9716f88380f32,ep_by_itself,False,False,True,True
don't cry over spilt milk,1767fceea0aa8de087b6,LIdiom,False,False,True,True
don't give up your day job,e0753e12e1be9c898d3f,ep_by_itself,True,False,True,False
don't put all your eggs in one basket,9a6859a45c51e614b2d6,LIdiom,True,False,True,False
every cloud has a silver lining,22b7b3cb25accb951028,EPIC,True,False,True,False
get a taste of your own medicine,366cebab0b9689683f2c,ep_as_part_of_a_sentence,False,False,True,True
give someone the cold shoulder,34b5b1a077ad6c8ff853,ep_as_part_of_a_sentence,False,False,True,True
go on a wild goose chase,8144019a5e1d9ec4520b,ep_as_part_of_a_sentence,False,False,True,True
good things come to those who wait,a8489ba6004dd0061e23,ep_by_itself,False,False,True,True
he has bigger fish to fry,b6379b1482b6b7e30412,ep_by_itself,True,False,True,False
he's a chip off the old block,b81ccc41f3afebffa06b,ep_by_itself,False,False,True,True
it ain't over till the fat lady sings,377033aadf40006ecc33,ep_by_itself,False,False,True,True
it takes one to know one,7617cc51f4a484b14625,ep_by_itself,True,True,False,False
it's a piece of cake,b5a87b6ba158e6f4d165,ep_by_itself,False,False,True,True
it's raining cats and dogs,ec8ad2f9bc8d63dbf4c7,ep_by_itself,True,False,True,False
saving for a rainy day,539a1223e66c9c32bb35,ep_as_part_of_a_sentence,True,False,False,False
slow and steady wins the race,5a3d5893f40fc1699329,ep_by_itself,False,False,True,True
take a rain check,190ffaae7eb1724b346a,ep_as_part_of_a_sentence,False,False,True,True
take it with a grain of salt,e09e1efdf23b0ef75753,ep_as_part_of_a_sentence,True,False,True,False
the ball is in your court,164825b40ad28db6271e,LIdiom,False,False,True,True
the best thing since sliced bread,2238962e727cfaf6b612,ep_as_part_of_a_sentence,True,False,True,False
